
STATUS | wrapper  | 2013/04/14 14:13:06 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/04/14 14:13:06 | Java Service Wrapper Community Edition 32-bit 3.3.6
STATUS | wrapper  | 2013/04/14 14:13:06 |   Copyright (C) 1999-2009 Tanuki Software, Ltd.  All Rights Reserved.
STATUS | wrapper  | 2013/04/14 14:13:06 |     http://wrapper.tanukisoftware.org
STATUS | wrapper  | 2013/04/14 14:13:06 | 
STATUS | wrapper  | 2013/04/14 14:13:07 | Launching a JVM...
INFO   | jvm 1    | 2013/04/14 14:13:07 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/04/14 14:13:07 | 14:13:07.851 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 1    | 2013/04/14 14:13:08 | 14:13:08.227 [WrapperSimpleAppMain] INFO  rebat-db - Schema OK!
INFO   | jvm 1    | 2013/04/14 14:13:08 | 14:13:08.248 [WrapperSimpleAppMain] INFO  rebat-db - Listening on port 2011 ...
STATUS | wrapper  | 2013/04/15 00:01:41 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2013/04/15 00:01:42 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/04/16 21:43:43 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/04/16 21:43:43 | Java Service Wrapper Community Edition 32-bit 3.3.6
STATUS | wrapper  | 2013/04/16 21:43:43 |   Copyright (C) 1999-2009 Tanuki Software, Ltd.  All Rights Reserved.
STATUS | wrapper  | 2013/04/16 21:43:43 |     http://wrapper.tanukisoftware.org
STATUS | wrapper  | 2013/04/16 21:43:43 | 
STATUS | wrapper  | 2013/04/16 21:43:43 | Launching a JVM...
INFO   | jvm 1    | 2013/04/16 21:43:45 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/04/16 21:43:48 | 21:43:48.193 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 1    | 2013/04/16 21:43:49 | 21:43:49.643 [WrapperSimpleAppMain] INFO  rebat-db - Schema OK!
INFO   | jvm 1    | 2013/04/16 21:43:49 | 21:43:49.806 [WrapperSimpleAppMain] INFO  rebat-db - Listening on port 2011 ...
STATUS | wrapper  | 2013/04/16 22:24:48 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2013/04/16 22:24:49 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/04/16 22:54:31 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/04/16 22:54:31 | Java Service Wrapper Community Edition 32-bit 3.3.6
STATUS | wrapper  | 2013/04/16 22:54:31 |   Copyright (C) 1999-2009 Tanuki Software, Ltd.  All Rights Reserved.
STATUS | wrapper  | 2013/04/16 22:54:31 |     http://wrapper.tanukisoftware.org
STATUS | wrapper  | 2013/04/16 22:54:31 | 
STATUS | wrapper  | 2013/04/16 22:54:32 | Launching a JVM...
INFO   | jvm 1    | 2013/04/16 22:54:32 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/04/16 22:54:34 | 22:54:34.506 [WrapperSimpleAppMain] INFO  rebat-db - Checking schema...
INFO   | jvm 1    | 2013/04/16 22:54:35 | 22:54:35.634 [WrapperSimpleAppMain] INFO  rebat-db - Schema OK!
